Time,#Frame,Speed_X,Speed_Y,Speed_Z,Speed_Mag,Angular_Speed_X,Angular_Speed_Y,Angular_Speed_Z,Angular_Speed_Mag,Center_of_mass_X,Center_of_mass_Y,Center_of_mass_Z,
12-04-39-353, 1171, 0.9187622, -0.7362053, 1.392059, 1.823171,-0.7750821, 2.537895, -3.028117, 4.026308, 0, 0, 0
12-04-39-368, 1172, 0.9189758, -0.8022413, 1.391815, 1.850745,-0.7754381, 2.537558, -3.027973, 4.026056, 0, 0, 0
12-04-39-380, 1173, 0.9190674, -0.8677948, 1.391815, 1.880134,-0.775838, 2.537225, -3.027991, 4.025936, 0, 0, 0
12-04-39-395, 1174, 0.9190674, -0.9174573, 1.392181, 1.903834,-0.7763519, 2.536595, -3.028032, 4.02567, 0, 0, 0
12-04-39-409, 1175, 0.9192505, -0.9762113, 1.391998, 1.932788,-0.7766078, 2.536057, -3.028158, 4.025475, 0, 0, 0
12-04-39-423, 1176, 0.9193726, -1.044497, 1.391937, 1.968174,-0.776886, 2.535898, -3.028034, 4.025335, 0, 0, 0
12-04-39-437, 1177, 0.9194946, -1.091189, 1.391846, 1.993338,-0.7772112, 2.535618, -3.028059, 4.025239, 0, 0, 0
12-04-39-452, 1178, 0.9197388, -1.157406, 1.391785, 2.030412,-0.7775731, 2.53511, -3.028157, 4.025064, 0, 0, 0
12-04-39-465, 1179, 0.9200134, -1.215386, 1.391541, 2.06397,-0.7775675, 2.535215, -3.027987, 4.025001, 0, 0, 0
12-04-39-478, 1180, 0.920105, -1.272694, 1.39151, 2.098248,-0.777708, 2.535307, -3.027845, 4.024979, 0, 0, 0
12-04-39-492, 1181, 0.9203186, -1.330162, 1.391449, 2.133646,-0.7777979, 2.535353, -3.027664, 4.024889, 0, 0, 0
12-04-39-505, 1182, 0.9205322, -1.380098, 1.391327, 2.165142,-0.7777719, 2.534992, -3.027468, 4.024509, 0, 0, 0
12-04-39-517, 1183, 0.9206543, -1.423625, 1.391266, 2.193156,-0.7777647, 2.534751, -3.02713, 4.024102, 0, 0, 0
12-04-39-530, 1184, 0.9205933, -1.479884, 1.391388, 2.230137,-0.7776311, 2.534369, -3.027186, 4.023878, 0, 0, 0
12-04-39-543, 1185, 0.9205627, -1.515377, 1.391357, 2.253814,-0.7778035, 2.533757, -3.027419, 4.023701, 0, 0, 0
12-04-39-555, 1186, 0.9206848, -1.576277, 1.391174, 2.295142,-0.777981, 2.533204, -3.027395, 4.023369, 0, 0, 0
12-04-39-569, 1187, 0.9207764, -1.623414, 1.391052, 2.32773,-0.7780679, 2.532741, -3.027779, 4.023383, 0, 0, 0
12-04-39-581, 1188, 0.9208984, -1.629681, 1.390839, 2.332026,-0.7780811, 2.531774, -3.027839, 4.022822, 0, 0, 0
12-04-39-595, 1189, 0.92099, -1.629708, 1.390717, 2.332009,-0.7779639, 2.531505, -3.027848, 4.022637, 0, 0, 0
12-04-39-608, 1190, 0.9208984, -1.629693, 1.391083, 2.33218,-0.7779304, 2.531009, -3.028037, 4.022461, 0, 0, 0
12-04-39-621, 1191, 0.92099, -1.62974, 1.391022, 2.332213,-0.7774166, 2.530685, -3.02813, 4.022228, 0, 0, 0
12-04-39-634, 1192, 0.9212036, -1.629846, 1.390778, 2.332226,-0.7771111, 2.530341, -3.028044, 4.021887, 0, 0, 0
12-04-39-648, 1193, 0.9213562, -1.629933, 1.390503, 2.332183,-0.7768479, 2.529803, -3.027886, 4.021379, 0, 0, 0
12-04-39-661, 1194, 0.9214783, -1.629983, 1.390137, 2.332048,-0.7770491, 2.529198, -3.027437, 4.0207, 0, 0, 0
12-04-39-674, 1195, 0.9214478, -1.629987, 1.390015, 2.331966,-0.7770513, 2.529059, -3.027451, 4.020623, 0, 0, 0
12-04-39-690, 1196, 0.9215393, -1.630059, 1.389557, 2.331779,-0.7769365, 2.528337, -3.027696, 4.020331, 0, 0, 0
12-04-39-704, 1197, 0.9216003, -1.630186, 1.389374, 2.331783,-0.7769419, 2.527748, -3.02806, 4.020236, 0, 0, 0
12-04-39-717, 1198, 0.9217224, -1.630341, 1.389191, 2.331831,-0.7762547, 2.527324, -3.028918, 4.020483, 0, 0, 0
12-04-39-729, 1199, 0.9219666, -1.630524, 1.388794, 2.331819,-0.7761294, 2.52762, -3.028294, 4.020175, 0, 0, 0
12-04-39-747, 1200, 0.9223328, -1.630635, 1.388397, 2.331805,-0.7760906, 2.527422, -3.02804, 4.019852, 0, 0, 0
12-04-39-770, 1201, 0.9225769, -1.630573, 1.388153, 2.331713,-0.7765808, 2.527133, -3.027534, 4.019383, 0, 0, 0
12-04-39-792, 1202, 0.9226074, -1.630625, 1.388092, 2.331725,-0.7772002, 2.527083, -3.026865, 4.018967, 0, 0, 0
12-04-39-813, 1203, 0.9229126, -1.630598, 1.387512, 2.331481,-0.7774782, 2.526504, -3.026904, 4.018686, 0, 0, 0
12-04-39-838, 1204, 0.9232788, -1.630634, 1.386932, 2.331307,-0.7780431, 2.526079, -3.027091, 4.01867, 0, 0, 0
