Time,#Frame,ConvergenceValid,Convergence_distance,Left_Eye_Openness,Right_Eye_Openness,Left_Eye_Closed,Right_Eye_Closed,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,LocalGazeValid,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,WorldGazeValid,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,
12-04-38-779, 1134, False, 0, 1, 1, False, False, -1, 4.135788, -1, -1, 0.5746779, 0.8565068, True, -0.02814522, -0.004439926, -0.03919097, 0.1187897,-0.02586365, 0.992569, True, 263.6176, 4.487556, 313.6819, -1.423772,-0.5587591, -1.288625, 32.34671, -3.27034, -46.24455, -32.54805, -4.710037, -37.99823, 0, 0,0, -0.1243896, -0.02923584, 0.9917908
12-04-38-823, 1135, False, 0, 1, 1, False, False, -1, 4.209854, -1, -1, 0.5743969, 0.8561627, True, -0.02808461, -0.005023758, -0.03755016, 0.1346283,-0.01164246, 0.9908142, True, 263.6158, 4.449815, 313.6796, -1.450455,-0.5287025, -1.271435, 32.34671, -3.27034, -46.24455, -32.47543, -5.192932, -36.66191, 0, 0,0, -0.1507568, -0.01460266, 0.9884491
12-04-38-841, 1136, True, 0.176042, 1, 1, False, False, 3.69342, 4.225052, 0.5169021, 0.9476123, 0.5725024, 0.8556384, True, -0.03245552, -0.005301117, -0.0363196, 0.1470184,-0.01304626, 0.9890442, True, 263.6135, 4.421357, 313.6923, -1.467314,-0.5287011, -1.251973, 32.34706, -3.282867, -46.21082, -32.45552, -5.301117, -36.3196, -0.0112915, -0.194046,0.9809113, -0.1470184, -0.01304626, 0.9890442
12-04-38-855, 1137, True, 0.3455197, 1, 1, False, False, 3.383072, 4.23143, 0.5171234, 0.9473602, 0.5724758, 0.8553255, True, -0.03244795, -0.005301117, -0.0363196, 0.1486359,-0.01119995, 0.9888153, True, 263.6135, 4.303623, 313.6922, -1.470121,-0.5248962, -1.250249, 32.34671, -3.27034, -46.24455, -32.44795, -5.301117, -36.3196, -0.01289368, -0.09835815,0.9950562, -0.1486359, -0.01119995, 0.9888153
12-04-38-871, 1138, True, 0.3455197, 1, 1, False, False, 3.388565, 4.240997, 0.5162639, 0.9480919, 0.5705536, 0.8553255, True, -0.03244795, -0.005301117, -0.0363196, 0.1486359,-0.01119995, 0.9888153, True, 263.6134, 4.243386, 313.6925, -1.470198,-0.524902, -1.250157, 32.34671, -3.254852, -46.29115, -32.4238, -5.394806, -36.16624, -0.008468628, -0.1009674,0.9948425, -0.1440125, -0.001373291, 0.989563
12-04-38-886, 1139, True, 0.3182902, 1, 1, False, False, 3.712921, 4.270477, 0.5156257, 0.9485716, 0.5687992, 0.8552379, True, -0.0324238, -0.005394806, -0.03616625, 0.1440125,-0.001373291, 0.989563, True, 263.6135, 4.185705, 313.692, -1.466543,-0.5069956, -1.26179, 32.34706, -3.257813, -46.27827, -32.40414, -5.459579, -35.94194, -0.004364014, -0.1984558,0.9800873, -0.1397858, -0.002975464, 0.9901733
12-04-38-901, 1140, True, 0.1593944, 1, 1, False, False, -1, 4.350586, -1, -1, 0.577228, 0.8604524, True, -0.03240415, -0.00545958, -0.03594194, 0.1397858,-0.002975464, 0.9901733, True, 263.6131, 4.10893, 313.6921, -1.46062,-0.5108317, -1.267126, 32.34706, -3.257813, -46.27827, -32.6985, -4.921356, -37.52834, 0, 0,0, -0.1056824, -0.03237915, 0.993866
12-04-38-915, 1141, False, 0.1593944, 1, 1, False, False, -1, 4.760132, -1, -1, 0.6226475, 0.8466455, True, -0.0326985, -0.004921356, -0.03752834, 0.1056824,-0.03237915, 0.993866, True, 263.6155, 4.044863, 313.6938, -1.406083,-0.574089, -1.301269, 32.34706, -3.257813, -46.27827, -33.06786, -4.779694, -37.61224, 0, 0,0, -0.2823029, 0.04319763, 0.9583435
12-04-38-933, 1142, False, 0.1593944, 1, 1, False, False, -1, 4.732559, -1, -1, 0.615033, 0.8340389, True, -0.03306786, -0.004779694, -0.03761224, 0.2823029,0.04319763, 0.9583435, True, 263.6162, 3.979559, 313.6935, -1.650358,-0.3846121, -1.062227, 32.34706, -3.257813, -46.27827, -33.08371, -4.715088, -37.61549, 0, 0,0, -0.2379303, 0.09017944, 0.9670715
12-04-38-948, 1143, False, 0.1593944, 1, 1, False, False, -1, 4.722412, -1, -1, 0.6164652, 0.8368344, True, -0.03308371, -0.004715088, -0.0376155, 0.2379303,0.09017944, 0.9670715, True, 263.6161, 3.920284, 313.6937, -1.604248,-0.3052887, -1.154587, 31.44896, -3.527573, -45.73181, -33.08191, -4.716461, -37.60893, 0, 0,0, -0.2462616, 0.07546997, 0.9662476
